Faus,iso_code,date,total_vaccinations,,day
Australia,AUS,22-02-2021,20,,1
Australia,AUS,23-02-2021,2879,,2
Australia,AUS,24-02-2021,6908,,3
Australia,AUS,25-02-2021,17500,,4
Australia,AUS,26-02-2021,25000,,5
Australia,AUS,27-02-2021,30000,,6
Australia,AUS,28-02-2021,31894,,7
Australia,AUS,01-03-2021,33702,,8
Australia,AUS,02-03-2021,41907,,9
Australia,AUS,03-03-2021,50840,,10
Australia,AUS,04-03-2021,61008,,11
Australia,AUS,05-03-2021,71867,,12
Australia,AUS,06-03-2021,76940,,13
Australia,AUS,07-03-2021,81345,,14
Australia,AUS,08-03-2021,86369,,15
Australia,AUS,09-03-2021,94908,,16
Australia,AUS,10-03-2021,106200,,17
Australia,AUS,11-03-2021,125000,,18
Australia,AUS,12-03-2021,135103,,19
Australia,AUS,13-03-2021,159294,,20
Australia,AUS,14-03-2021,162551,,21
Australia,AUS,15-03-2021,164781,,22
Australia,AUS,16-03-2021,182437,,23
Australia,AUS,17-03-2021,203557,,24
Australia,AUS,18-03-2021,226057,,25
Australia,AUS,19-03-2021,240754,,26
Australia,AUS,20-03-2021,253831,,27
Australia,AUS,21-03-2021,257019,,28
Australia,AUS,22-03-2021,282184,,29
Australia,AUS,23-03-2021,307525,,30
Australia,AUS,24-03-2021,355254,,31
Australia,AUS,25-03-2021,408410,,32
Australia,AUS,26-03-2021,460155,,33
Australia,AUS,27-03-2021,506465,,34
Australia,AUS,28-03-2021,511520,,35
Australia,AUS,29-03-2021,541761,,36
Australia,AUS,30-03-2021,597523,,37
Australia,AUS,31-03-2021,670349,,38
Australia,AUS,01-04-2021,744328,,39
Australia,AUS,02-04-2021,823611,,40
Australia,AUS,03-04-2021,828416,,41
Australia,AUS,04-04-2021,843182,,42
Australia,AUS,05-04-2021,844309,,43
Australia,AUS,06-04-2021,854983,,44
Australia,AUS,07-04-2021,920334,,45
Australia,AUS,08-04-2021,996145,,46
Australia,AUS,09-04-2021,1077511,,47
Australia,AUS,10-04-2021,1138866,,48
Australia,AUS,11-04-2021,1166568,,49
Australia,AUS,12-04-2021,1178302,,50
Australia,AUS,13-04-2021,1234681,,51
Australia,AUS,14-04-2021,1295672,,52
Australia,AUS,15-04-2021,1359665,,53
Australia,AUS,16-04-2021,1420577,,54
Australia,AUS,17-04-2021,1474558,,55
Australia,AUS,18-04-2021,1496912,,56
Australia,AUS,19-04-2021,1586556,,57
Australia,AUS,20-04-2021,1653286,,58
Australia,AUS,21-04-2021,1718107,,59
Australia,AUS,22-04-2021,1785338,,60
Australia,AUS,23-04-2021,1855601,,61
Australia,AUS,24-04-2021,1914047,,62
Australia,AUS,25-04-2021,1934077,,63
Australia,AUS,26-04-2021,1937485,,64
Australia,AUS,27-04-2021,1969337,,65
Australia,AUS,28-04-2021,2029544,,66
Australia,AUS,29-04-2021,2112285,,67
Australia,AUS,30-04-2021,2179544,,68
Australia,AUS,01-05-2021,2234844,,69
Australia,AUS,02-05-2021,2254074,,70
Australia,AUS,03-05-2021,2260615,,71
Australia,AUS,04-05-2021,2316969,,72
Australia,AUS,05-05-2021,2396314,,73
Australia,AUS,06-05-2021,2473529,,74
Australia,AUS,07-05-2021,2554531,,75
Australia,AUS,08-05-2021,2627725,,76
Australia,AUS,09-05-2021,2654338,,77
Australia,AUS,10-05-2021,2663221,,78
Australia,AUS,11-05-2021,2736107,,79
Australia,AUS,12-05-2021,2812486,,80
Australia,AUS,13-05-2021,2894770,,81
Australia,AUS,14-05-2021,2980644,,82
Australia,AUS,15-05-2021,3056797,,83
Australia,AUS,16-05-2021,3089184,,84
Australia,AUS,17-05-2021,3100137,,85
Australia,AUS,18-05-2021,3183324,,86
France,FRA,23-03-2021,9289053,,
France,FRA,24-03-2021,9583452,,
France,FRA,25-03-2021,9963797,,
France,FRA,26-03-2021,10357441,,
France,FRA,27-03-2021,10566293,,
France,FRA,28-03-2021,10629214,,
France,FRA,29-03-2021,10880137,,
France,FRA,30-03-2021,11229664,,
France,FRA,31-03-2021,11560921,,
France,FRA,01-04-2021,11962103,,
France,FRA,02-04-2021,12333678,,
France,FRA,03-04-2021,12534698,,
France,FRA,04-04-2021,12598310,,
France,FRA,05-04-2021,12666675,,
France,FRA,06-04-2021,12991514,,
France,FRA,07-04-2021,13359624,,
France,FRA,08-04-2021,13810886,,
France,FRA,09-04-2021,14327472,,
France,FRA,10-04-2021,14618409,,
France,FRA,11-04-2021,14706575,,
France,FRA,12-04-2021,15052628,,
France,FRA,13-04-2021,15496669,,
France,FRA,14-04-2021,15921836,,
France,FRA,15-04-2021,16398858,,
France,FRA,16-04-2021,16876120,,
France,FRA,17-04-2021,17149897,,
France,FRA,18-04-2021,17235147,,
France,FRA,19-04-2021,17572729,,
France,FRA,20-04-2021,17991911,,
France,FRA,21-04-2021,18406822,,
France,FRA,22-04-2021,18877114,,
France,FRA,23-04-2021,19347206,,
France,FRA,24-04-2021,19644493,,
France,FRA,25-04-2021,19750233,,
France,FRA,26-04-2021,20121636,,
France,FRA,27-04-2021,20585242,,
France,FRA,28-04-2021,21056611,,
France,FRA,29-04-2021,21595209,,
France,FRA,30-04-2021,22137663,,
France,FRA,01-05-2021,22347331,,
France,FRA,02-05-2021,22473436,,
France,FRA,03-05-2021,22901122,,
France,FRA,04-05-2021,23421779,,
France,FRA,05-05-2021,23949989,,
Albania,ALB,21-03-2021,,,
Albania,ALB,22-03-2021,48229,,
Albania,ALB,23-03-2021,51690,,
Albania,ALB,24-03-2021,53992,,
Albania,ALB,25-03-2021,59348,,
Albania,ALB,26-03-2021,62248,,
Albania,ALB,27-03-2021,64075,,
Albania,ALB,28-03-2021,78000,,
Albania,ALB,29-03-2021,,,
Albania,ALB,30-03-2021,119321,,
Albania,ALB,31-03-2021,138846,,
Albania,ALB,01-04-2021,155463,,
Albania,ALB,02-04-2021,172486,,
Albania,ALB,03-04-2021,185496,,
Albania,ALB,04-04-2021,192882,,
Albania,ALB,05-04-2021,206708,,
Albania,ALB,06-04-2021,221588,,
Albania,ALB,07-04-2021,232379,,
Albania,ALB,08-04-2021,242542,,
Albania,ALB,09-04-2021,250676,,
Albania,ALB,10-04-2021,256810,,
Albania,ALB,11-04-2021,,,
Albania,ALB,12-04-2021,267531,,
Albania,ALB,13-04-2021,281216,,
Albania,ALB,14-04-2021,,,
Albania,ALB,15-04-2021,304488,,
Albania,ALB,16-04-2021,314622,,
Albania,ALB,17-04-2021,324840,,
Albania,ALB,18-04-2021,332905,,
Albania,ALB,19-04-2021,345934,,
Albania,ALB,20-04-2021,350000,,
Albania,ALB,21-04-2021,372075,,
Albania,ALB,22-04-2021,382998,,
Albania,ALB,23-04-2021,391351,,
Albania,ALB,24-04-2021,400064,,
Albania,ALB,25-04-2021,,,
Albania,ALB,26-04-2021,408619,,
Albania,ALB,27-04-2021,416855,,
Albania,ALB,28-04-2021,433628,,
Albania,ALB,29-04-2021,453248,,
Albania,ALB,30-04-2021,476903,,
Albania,ALB,01-05-2021,494028,,
Albania,ALB,02-05-2021,,,
Albania,ALB,03-05-2021,517501,,
Albania,ALB,04-05-2021,537387,,
Albania,ALB,05-05-2021,556584,,
Albania,ALB,06-05-2021,572226,,
Algeria,DZA,29-01-2021,0,,
Algeria,DZA,30-01-2021,30,,
Algeria,DZA,31-01-2021,,,
Algeria,DZA,01-02-2021,,,
Algeria,DZA,02-02-2021,,,
Algeria,DZA,03-02-2021,,,
Algeria,DZA,04-02-2021,,,
Algeria,DZA,05-02-2021,,,
Algeria,DZA,06-02-2021,,,
Algeria,DZA,07-02-2021,,,
Algeria,DZA,08-02-2021,,,
Algeria,DZA,09-02-2021,,,
Algeria,DZA,10-02-2021,,,
Algeria,DZA,11-02-2021,,,
Algeria,DZA,12-02-2021,,,
Algeria,DZA,13-02-2021,,,
Algeria,DZA,14-02-2021,,,
Algeria,DZA,15-02-2021,,,
Algeria,DZA,16-02-2021,,,
Algeria,DZA,17-02-2021,,,
Algeria,DZA,18-02-2021,,,
Algeria,DZA,19-02-2021,75000,,
Andorra,AND,25-01-2021,576,,
Andorra,AND,26-01-2021,,,
Andorra,AND,27-01-2021,,,
Andorra,AND,28-01-2021,,,
Andorra,AND,29-01-2021,,,
Andorra,AND,30-01-2021,,,
Andorra,AND,31-01-2021,,,
Andorra,AND,01-02-2021,1036,,
Andorra,AND,02-02-2021,,,
Andorra,AND,03-02-2021,,,
Andorra,AND,04-02-2021,,,
Andorra,AND,05-02-2021,,,
Andorra,AND,06-02-2021,,,
Andorra,AND,07-02-2021,,,
Andorra,AND,08-02-2021,,,
Andorra,AND,09-02-2021,,,
Andorra,AND,10-02-2021,1291,,
Andorra,AND,11-02-2021,,,
Andorra,AND,12-02-2021,1622,,
Andorra,AND,13-02-2021,,,
Andorra,AND,14-02-2021,,,
Andorra,AND,15-02-2021,,,
Andorra,AND,16-02-2021,,,
Andorra,AND,17-02-2021,,,
Andorra,AND,18-02-2021,,,
Andorra,AND,19-02-2021,2141,,
Andorra,AND,20-02-2021,,,
Andorra,AND,21-02-2021,,,
Andorra,AND,22-02-2021,,,
Andorra,AND,23-02-2021,,,
Andorra,AND,24-02-2021,2390,,
Andorra,AND,25-02-2021,,,
Andorra,AND,26-02-2021,2526,,
Andorra,AND,27-02-2021,,,
Andorra,AND,28-02-2021,,,
Andorra,AND,01-03-2021,,,
Andorra,AND,02-03-2021,,,
Andorra,AND,03-03-2021,,,
Andorra,AND,04-03-2021,,,
Andorra,AND,05-03-2021,,,
Andorra,AND,06-03-2021,,,
Andorra,AND,07-03-2021,,,
Andorra,AND,08-03-2021,3611,,
Andorra,AND,09-03-2021,,,
Andorra,AND,10-03-2021,4914,,
Andorra,AND,11-03-2021,,,
Andorra,AND,12-03-2021,,,
Andorra,AND,13-03-2021,,,
Andorra,AND,14-03-2021,,,
Andorra,AND,15-03-2021,8363,,
Andorra,AND,16-03-2021,,,
Andorra,AND,17-03-2021,,,
Andorra,AND,18-03-2021,,,
Andorra,AND,19-03-2021,9288,,
Andorra,AND,20-03-2021,,,
Andorra,AND,21-03-2021,,,
Andorra,AND,22-03-2021,,,
Andorra,AND,23-03-2021,,,
Andorra,AND,24-03-2021,,,
Andorra,AND,25-03-2021,,,
Andorra,AND,26-03-2021,,,
Andorra,AND,27-03-2021,,,
Andorra,AND,28-03-2021,,,
Andorra,AND,29-03-2021,,,
Andorra,AND,30-03-2021,,,
Andorra,AND,31-03-2021,,,
Andorra,AND,01-04-2021,,,
Andorra,AND,02-04-2021,,,
Andorra,AND,03-04-2021,,,
Andorra,AND,04-04-2021,12440,,
Andorra,AND,05-04-2021,15269,,
Andorra,AND,06-04-2021,,,
Andorra,AND,07-04-2021,,,
Andorra,AND,08-04-2021,,,
Andorra,AND,09-04-2021,,,
Andorra,AND,10-04-2021,,,
Andorra,AND,11-04-2021,17091,,
Andorra,AND,12-04-2021,19064,,
Andorra,AND,13-04-2021,,,
Andorra,AND,14-04-2021,,,
Andorra,AND,15-04-2021,,,
Andorra,AND,16-04-2021,,,
Andorra,AND,17-04-2021,,,
Andorra,AND,18-04-2021,,,
Andorra,AND,19-04-2021,26414,,
Andorra,AND,20-04-2021,,,
Andorra,AND,21-04-2021,,,
Andorra,AND,22-04-2021,,,
Andorra,AND,23-04-2021,,,
Andorra,AND,24-04-2021,,,
Andorra,AND,25-04-2021,,,
Andorra,AND,26-04-2021,28503,,
Andorra,AND,27-04-2021,,,
